,city,place,rating,type
0,Mysore,Mysore Palace,4.4,Palace
1,Mysore,Somanathapura Temple,3.5,Temple
2,Mysore,Brindavan Gardens,4.2,Gardens
3,Mysore,Mysore Zoo,4.3,National Park
4,Mysore,Chamundeshwari Temple,4.2,Temple
5,Mysore,GRS Fantasy Park,4.2,National Park
6,Mysore,St Philomena s Church,4.3,Church
7,Mysore,City Shopping,3.4,Mall
8,Mysore,Jaganmohan Palace,4.2,Palace
9,Mysore,Talakadu,4.2,Palace
10,Mysore,Karanji Lake,3.8,Lake
11,Mysore,Folklore Museum,3.2,Museum
12,Mysore,Rail Museum Mysore,3.7,Museum
13,Mysore,Trinesvaraswamy Temple,3.2,Temple
14,Mysore,Nanjangud,3.7,Temple
15,Mysore,Melukote Temples,3.2,Temple
16,Mysore,Bonsai Garden,3.1,Park
17,Mysore,Srikanteswara Temple,3.2,Temple
18,Mysore,Lalitha Mahal Palace,3.1,Temple
19,Mysore,Shuka Vana,3,Park
20,Mysore,Ashtanga Yoga Institute,3,Temple
21,Mysore,Mysore Mandala Yoga Shala,3.1,Fort
22,Mysore,Chunchanakatte Falls,2.8,Hill
23,Mysore,Balmuri Waterfalls,2.3,Hill
24,Mysore,Dr Ambedkar s Park,2,Park
25,Mysore,Lingambudhi Park,3.4,Park
26,Mysore,Javaregowda Park,1,Park
27,Mysore,Sanjeevini Park,2.5,Park
28,Mysore,Cheluvamba Park,2.6,Park
29,Mysore,Freedom Fighter s Park,2.8,Park
30,Mysore,Mysore Dasara,3,Temple
31,Davanagere,Kunduvada Kere,3.4,Fort
32,Davanagere,Bagali,3.4,Fort
33,Davanagere,Sri Anjaneya Swamy Temple,3.4,Hill
34,Davanagere,Karanji Mantapa,3.1,Temple
35,Davanagere,Bathi Gudda,3.1,Fort
36,Davanagere,Sulekere,3.1,Fort
37,Davanagere,Anekonda,3.1,Hill
38,Davanagere,Eshwara Temple,3.1,Temple
39,Davanagere,Betur,3.1,Fort
40,Davanagere,Comprehensive Water Supply Tank,3.1,Fort
41,Davanagere,Shopping in Davanagere,3,Hill
42,Davanagere,The Loot,3.1,Historic Place
43,Davanagere,B S Channa Basappa and Sons,3.1,Historic Place
44,Bellary,The Rocks Mountain,4.4,Park
45,Bellary,Bellary Fort Fort,4.4,Fort
46,Bellary,Bellary Zoo Zoo,4.4,Zoo
47,Bellary,Kumbara Gudda Hill,4.4,Hill
48,Bellary,Upper Fort Fort,4.4,Fort
49,Bellary,Lower Fort Fort,4.4,Fort
50,Bellary,Other Hills Hill,4.4,Hill
